slug,words,dup_pct,src_pct,src
dacha-sabashnikova,293,99,99,https://jalita.com/big_yalta/simeiz/villa_sabashnikov.shtml
ptitsa-schastya,869,99,99,https://jalita.com/guidebook/legends/bird_of_fortuna.shtml
istoriya-stroitelstva-massandrovskogo-dvortsa-3,777,98,97,https://jalita.com/big_yalta/massandra/palace_alexandr_1.shtml
villa-selbi,139,98,98,https://jalita.com/big_yalta/simeiz/villa_selbi.shtml
dacha-akademika-kurchatova-v-mishore,713,97,97,https://jalita.com/big_yalta/mishor/kurchatov_cottage.shtml
dobycha-nefti-v-krymu,924,97,97,https://jalita.com/guidebook/crimea/oil.shtml
ekspozitsiya-massandrovskogo-dvortsa-muzeya-2,532,97,97,https://jalita.com/big_yalta/massandra/bathroom.shtml
ekspozitsiya-massandrovskogo-dvortsa-muzeya-8,621,97,97,https://jalita.com/big_yalta/massandra/main_dining_room.shtml
interery-livadijskogo-dvortsa-1-j-etazh,1720,97,97,https://jalita.com/big_yalta/livadia/interior_livadia_1_floor.shtml
istochnik-vernosti,521,97,97,https://jalita.com/guidebook/legends/spring_perchem.shtml
kupchaya-s-n-n-titushkinym-na-uchastok-zemli-v-krymu-ot-6-marta-1909-g,545,97,97,https://jalita.com/big_yalta/mishor/murad-avur_buy.shtml
lesnoe-ischeznuvshee-selo-kryma,402,97,94,https://jalita.com/guidebook/crimea/lesnoe.shtml
dom-muzej-a-p-chehova-v-yalte-4,257,96,96,https://jalita.com/big_yalta/chehov/first_floor.shtml
ekspozitsiya-massandrovskogo-dvortsa-muzeya-7,442,96,96,https://jalita.com/big_yalta/massandra/ground_vestibule.shtml
istoriya-stroitelstva-massandrovskogo-dvortsa-5,795,96,95,https://jalita.com/big_yalta/massandra/palace_alexandr_1.shtml
krymskie-partizany,932,96,90,https://jalita.com/guidebook/crimea/partisan.shtml
legenda-o-velikom-medvede,680,96,94,https://jalita.com/guidebook/legends/au-dag_great.shtml
peshhera-iograf-2,369,96,96,https://jalita.com/guidebook/cave_crimea/iograf.shtml
prirodnye-dostoprimechatelnosti-2,333,96,96,https://jalita.com/big_yalta/yalta/natural_resources.shtml
verhij-kastropol-v-gody-velikoj-otechestvennoj-vojny,564,96,96,https://jalita.com/big_yalta/kastropol/sevas.shtml
yaltinskij-gidrotonnel,596,96,96,https://jalita.com/big_yalta/yalta/yalta_water_tunnel.shtml
a-p-chekhov-house-museum-in-yalta,1012,95,95,https://jalita.com/big_yalta/chehov/index_eng.shtml
dinastiya-sabashnikovyh,228,95,95,https://jalita.com/big_yalta/simeiz/sabashnikov.shtml
dolgorukovskaya-yajla-2,507,95,95,https://jalita.com/guidebook/crimea/dolgoruk-yayla_flora.shtml
ekspozitsiya-massandrovskogo-dvortsa-muzeya-10,90,95,95,https://jalita.com/big_yalta/massandra/exposition.shtml
ekspozitsiya-massandrovskogo-dvortsa-muzeya-5,2231,95,95,https://jalita.com/big_yalta/massandra/cabinet_his_majesty.shtml
gibel-parohoda-lenin,838,95,95,https://jalita.com/big_yalta/laspi/sarych_lenin.shtml
istoriya-nemetskoj-lyuteranskoj-tserkvi-v-krymu,794,95,95,https://jalita.com/guidebook/crimea/luterane.shtml
kurgan-slavy-nadpisi-na-pamyatnike,777,95,95,https://jalita.com/guidebook/crimea/dolgoruk-yayla_barrow.shtml
meteostantsiya-na-aj-petri,298,95,95,https://jalita.com/big_yalta/alupka/ai-petry_weather_station.shtml
ot-karagolya-vdol-shosse-yalta-bahchisaraj,731,95,95,https://jalita.com/big_yalta/forest/karagol_path.shtml
potemkinskie-derevni,623,95,95,https://jalita.com/guidebook/crimea/potemkin_village.shtml
s-imenem-yalty-na-bortu,403,95,95,https://jalita.com/big_yalta/yalta/with_name_yalta.shtml
alupkinskij-park-nizhnij-park,1011,94,94,https://jalita.com/big_yalta/alupka/lower_park.shtml
alupkinskij-park-verhnij-park,1516,94,94,https://jalita.com/big_yalta/alupka/upper_park.shtml
arabatka-kurortnaya,583,94,85,https://jalita.com/guidebook/crimea/arabat_health_resort.shtml
arhitektura-vorontsovskogo-dvortsa,964,94,94,https://jalita.com/big_yalta/alupka/architecture_palace.shtml
dom-muzej-antona-pavlovicha-chehova,632,94,94,https://jalita.com/big_yalta/chehov/index.shtml
dom-muzej-a-p-chehova-v-yalte-8,805,94,94,https://jalita.com/big_yalta/chehov/room_knipper.shtml
dom-muzej-a-p-chehova-v-yalte-9,531,94,94,https://jalita.com/big_yalta/chehov/room_relation.shtml
ekskursiya-na-goru-kastel,1056,94,94,https://jalita.com/big_yalta/alushta/kastel_path.shtml
ekspozitsiya-alupkinskogo-dvortsa-5,364,94,94,https://jalita.com/big_yalta/alupka/lounge.shtml
forosskij-park,996,94,94,https://jalita.com/big_yalta/simeiz/foros_park.shtml
gurzuf-literaturnyj,1279,94,92,https://jalita.com/big_yalta/gurzuf/literature_1.shtml
hram-devy,671,94,93,https://jalita.com/guidebook/crimea/temple_virgin.shtml
alupkinskij-park,1121,93,93,https://jalita.com/big_yalta/alupka/creation_park.shtml
arheologicheskie-pamyatniki-dolgorukovskoj-yajly,875,93,93,https://jalita.com/guidebook/crimea/dolgoruk-yayla_antiquities.shtml
avunda-reka,305,93,93,https://jalita.com/big_yalta/gurzuf/avunda_river.shtml
ekspozitsiya-alupkinskogo-dvortsa-3,519,93,93,https://jalita.com/big_yalta/alupka/lobby.shtml
ekspozitsiya-massandrovskogo-dvortsa-muzeya-11,236,93,93,https://jalita.com/big_yalta/massandra/waiting_room_her_majesty.shtml
ekspozitsiya-massandrovskogo-dvortsa-muzeya-4,1306,93,93,https://jalita.com/big_yalta/massandra/billiard_room.shtml
kastel-gora,956,93,93,https://jalita.com/big_yalta/alushta/kastel.shtml
pushkinskij-fontan,354,93,92,https://jalita.com/big_yalta/gurzuf/pushkin_fountain.shtml
skelet-mamonta-v-peshhere-emine-bair-hosar,840,93,81,https://jalita.com/guidebook/cave_crimea/emine-bair-hosar_mamont.shtml
solyanoj-promysel-na-sivashe,894,93,80,https://jalita.com/guidebook/crimea/sivash_salt.shtml
tavrskie-mogilniki-v-krymu,513,93,88,https://jalita.com/guidebook/crimea/tavr_mogil.shtml
vodopad-uchan-su,703,93,83,https://jalita.com/big_yalta/yalta/uchan-su.shtml
v-zujskij-les-k-partizanskomu-memorialu,1616,93,93,https://jalita.com/guidebook/crimea/dolgoruk-yayla_path.shtml
adalary-skaly-bliznetsy-u-gurzufa,634,92,92,https://jalita.com/big_yalta/gurzuf/adalary.shtml
arhitektura-livadijskogo-dvortsa-2,828,92,92,https://jalita.com/big_yalta/livadia/architecture_livadia.shtml
barelef-a-s-pushkina,508,92,92,https://jalita.com/big_yalta/gurzuf/pushkin_bareljef.shtml
dacha-sviyagina,344,92,92,https://jalita.com/big_yalta/simeiz/villa_sviyagina.shtml
dom-muzej-a-p-chehova-v-yalte,3276,92,92,https://jalita.com/big_yalta/chehov/cabinet_chehov.shtml
dom-muzej-a-p-chehova-v-yalte-11,116,92,92,https://jalita.com/big_yalta/chehov/second_floor.shtml
dom-muzej-a-p-chehova-v-yalte-3,480,92,92,https://jalita.com/big_yalta/chehov/dining_room.shtml
dom-muzej-a-p-chehova-v-yalte-6,608,92,92,https://jalita.com/big_yalta/chehov/room_eachehova.shtml
haraks,1239,92,92,https://jalita.com/big_yalta/swallow_nest/charax_fortress.shtml
istoriya-otkrytiya-emine-bair-hosar,526,92,88,https://jalita.com/guidebook/cave_crimea/emine-bair-hosar_history.shtml
istoriya-stroitelstva-massandrovskogo-dvortsa-2,1192,92,92,https://jalita.com/big_yalta/massandra/palace_alexandr.shtml
istoriya-stroitelstva-massandrovskogo-dvortsa-4,800,92,89,https://jalita.com/big_yalta/massandra/palace_alexandr.shtml
istoriya-stroitelstva-massandrovskogo-dvortsa-6,896,92,92,https://jalita.com/big_yalta/massandra/palace_alexandr_1.shtml
kastel-gora-pamyatnik-geologii,935,92,90,https://jalita.com/big_yalta/alushta/kastel_geology.shtml
kromleh-sila-solntsa-na-zemle,699,92,90,https://jalita.com/guidebook/crimea/kromlex.shtml
orografiya-i-osobennosti-relefa-chatyr-daga,245,92,83,https://jalita.com/big_yalta/forest/chatyr-dag_relief.shtml
pochvy-rastitelnost-i-zhivotnyj-mir-chatyrdagskoj-yajly,445,92,84,https://jalita.com/big_yalta/forest/chatyr-dag_nature.shtml
starinnye-usadby-dachi-villy-simeiza,430,92,92,https://jalita.com/big_yalta/simeiz/villa.shtml
villa-mechta,438,92,91,https://jalita.com/big_yalta/simeiz/villa_mechta.shtml
chasovnya-na-naberezhnoj-yalty,381,91,91,https://jalita.com/big_yalta/yalta/chapel.shtml
dom-muzej-a-p-chehova-v-yalte-10,125,91,91,https://jalita.com/big_yalta/chehov/veranda.shtml
ekspozitsiya-alupkinskogo-dvortsa-2,353,91,91,https://jalita.com/big_yalta/alupka/library.shtml
ekspozitsiya-massandrovskogo-dvortsa-muzeya-9,1411,91,91,https://jalita.com/big_yalta/massandra/cabinet_her_majesty.shtml
ekspozitsiya-vorontsovskogo-dvortsa-3,420,91,91,https://jalita.com/big_yalta/alupka/dining_room.shtml
hozyajstvennaya-deyatelnost-cheloveka-na-chatyr-dage,478,91,76,https://jalita.com/big_yalta/forest/chatyr-dag_agro.shtml
imenie-haraks,1022,91,91,https://jalita.com/big_yalta/mishor/charax.shtml
sovremennye-geologicheskie-yavleniya-na-chatyr-dage,1436,91,88,https://jalita.com/big_yalta/forest/chatyr-dag_geology_mod.shtml
chehovskij-sad,474,90,90,https://jalita.com/big_yalta/chehov/garden.shtml
dacha-e-l-korobinoj-selyam,328,90,90,https://jalita.com/big_yalta/simeiz/villa_selyam.shtml
dacha-lansere-hrizolit,252,90,90,https://jalita.com/big_yalta/simeiz/villa_hrizolit.shtml
dacha-nyukta,171,90,90,https://jalita.com/big_yalta/simeiz/villa_nukta.shtml
dom-muzej-a-p-chehova-v-yalte-12,1510,90,90,https://jalita.com/big_yalta/chehov/third_floor.shtml
