batch,tier,slug,words,dup_pct,title,src
1,T1,dzhip-tury,1131,0,"Джип-туры по Крыму на подготовленных внедорожниках — маршруты и цены",
1,T1,ekskursiya-v-emine-bair-hosar,876,0,"Экскурсия в пещеру Эмине-Баир-Хосар на Чатыр-Даге",
1,T1,individualnye-ekskursii-po-krymu,812,0,"Индивидуальные экскурсии по Крыму на внедорожнике — маршрут под вас",
1,T1,ekskursiya-na-goru-kastel,739,0,"Гора Кастель под Алуштой: подъём, легенда о царице Феодоре и что видно с вершины",https://jalita.com/big_yalta/alushta/kastel_path.shtml
1,T1,put-v-yaltu-ekskursiya-po-doroge-simferopol-yalta,657,0,"Дорога Симферополь — Ялта: что видно из окна и где стоит остановиться",
1,T1,ekskursii-v-bahchisarae,487,0,"Экскурсии в Бахчисарае: пять маршрутов, которые стоят вашего дня",
1,T1,ekskursii-po-krymu-s-luchshimi-tsenami-2019-iz-yalty-simferopolya-sevastopolya,477,0,"Экскурсии по Крыму из Ялты, Симферополя и Севастополя — цены и маршруты",
1,T1,tury-vyhodnogo-dnya-v-krymu,441,0,"Туры выходного дня в Крыму: Большой каньон и Ай-Петри за один-два дня",
1,T1,dzhip-tur-po-vershinam-kryma,410,0,"Джип-тур по вершинам Крыма: главная гряда и четвёртая вершина полуострова",
1,T1,tury-na-kvadrotsiklah-v-krymu,358,0,"Туры на квадроциклах в Крыму: маршруты по Бойко, Бельбеку и Большому каньону",
2,T1,korporativnyj-otdyh-v-krymu,450,0,"Корпоративный отдых в Крыму: выезды на внедорожниках для коллектива",
2,T1,individualnaya-ekskursiya-po-krymu-tur-bezlimitnyj,291,0,"Индивидуальная экскурсия по Крыму - Тур ""Безлимитный""",
2,T1,dikie-tury-v-krymu,440,0,"«Дикие» туры в Крыму: отдых с палатками под присмотром инструктора",
2,T1,dzhip-tur-ekskursiya-serdtsem-kryma,266,0,"Джип-тур экскурсия Сердцем Крыма",
2,T1,dzhip-tur-chufut-kale,394,0,"Джип-тур «Чуфут-Кале» из Бахчисарая: маршрут на два часа",
2,T2,cherez-sedam-kayu-na-aj-petri,987,1,"Через Седам-Каю на Ай-Петри: маршрут от Соколиного до Чайного домика",https://jalita.com/big_yalta/forest/sedam-kaya_ai-petri.shtml
2,T2,meteostantsiya-na-aj-petri,514,1,"Метеостанция на Ай-Петри: история наблюдений и ай-петринские ветры",https://jalita.com/big_yalta/alupka/ai-petry_weather_station.shtml
2,T2,dostoprimechatelnosti-aj-petri,614,1,"Достопримечательности Ай-Петри: зубцы, меридиан, Трёхглазка и буковая роща",https://jalita.com/big_yalta/alupka/ai-petry_places.shtml
